i,direction,te,ete,se,p,history length
Normal 3,L->R,0.042832757,0,0.009498554,0.41,7
Normal 3,R->L,0.035746927,0.001948749,0.010403476,0.86,7
Normal 3,L->R,0.040780234,0,0.008154764,0.32,8
Normal 3,R->L,0.032867291,0,0.008994902,0.87,8
Normal 3,L->R,0.04177489,0,0.008534239,0.66,9
Normal 3,R->L,0.028921111,0,0.01040601,1,9
Normal 3,L->R,0.03961851,0,0.008955587,0.95,10
Normal 3,R->L,0.02665226,0,0.011846733,1,10
Normal 3,L->R,0.036365713,0,0.008613475,0.98,11
Normal 3,R->L,0.02448623,0,0.011214446,1,11
Normal 3,L->R,0.035652332,0,0.00834967,0.99,12
Normal 3,R->L,0.022701441,0,0.010260734,1,12
Normal 3,L->R,0.029182154,0,0.008279888,1,13
Normal 3,R->L,0.021498997,0,0.010258664,1,13
Normal 3,L->R,0.023907222,0,0.007128616,1,14
Normal 3,R->L,0.021451911,0,0.00944935,1,14
Normal 3,L->R,0.023273194,0,0.006843949,1,15
Normal 3,R->L,0.019606105,0,0.010000726,1,15
Normal 3,L->R,0.020812734,0,0.008281417,1,16
Normal 3,R->L,0.019543984,0,0.009453977,1,16
Normal 3,L->R,0.020824785,0,0.007514333,1,17
Normal 3,R->L,0.020350224,0,0.008493675,1,17
Normal 3,L->R,0.019917362,0,0.00705986,1,18
Normal 3,R->L,0.020272489,0,0.00669259,1,18
Normal 3,L->R,0.019929643,0,0.007060047,1,19
Normal 3,R->L,0.020094346,0,0.007653116,1,19
Normal 3,L->R,0.019060254,0,0.007086124,1,20
Normal 3,R->L,0.019729796,0,0.00723762,1,20
Exaggerated 1,L->R,0.016744159,0.01266148,0.001424726,0,1
Exaggerated 1,R->L,0.005144599,0.00183268,0.001286496,0.09,1
Exaggerated 1,L->R,0.035387071,0.020236671,0.00322858,0,2
Exaggerated 1,R->L,0.026909608,0.013881187,0.002911251,0,2
Exaggerated 1,L->R,0.041748568,0.01335686,0.00485424,0,3
Exaggerated 1,R->L,0.032305976,0.009567184,0.004780583,0.01,3
Exaggerated 1,L->R,0.049713783,0.009100493,0.005781564,0,4
Exaggerated 1,R->L,0.034530941,0.003644619,0.006229993,0.14,4
Exaggerated 1,L->R,0.05355906,0.003851407,0.00800877,0.01,5
Exaggerated 1,R->L,0.030098555,0,0.007149771,0.84,5
Exaggerated 1,L->R,0.053336606,0,0.009456837,0.14,6
Exaggerated 1,R->L,0.032122143,0,0.008178796,0.94,6
Exaggerated 1,L->R,0.050212484,0,0.008305533,0.25,7
Exaggerated 1,R->L,0.035952441,0,0.010052798,0.96,7
Exaggerated 1,L->R,0.051332111,0,0.008149556,0.5,8
Exaggerated 1,R->L,0.037387283,0,0.009157509,1,8
Exaggerated 1,L->R,0.048173478,0,0.00860527,0.86,9
Exaggerated 1,R->L,0.037635413,0,0.008759533,1,9
Exaggerated 1,L->R,0.046071449,0,0.009577983,0.96,10
Exaggerated 1,R->L,0.040346003,0,0.010690801,1,10
Exaggerated 1,L->R,0.05026214,0,0.009366062,0.95,11
Exaggerated 1,R->L,0.039941389,0,0.009298722,1,11
Exaggerated 1,L->R,0.046600532,0,0.009860377,0.99,12
Exaggerated 1,R->L,0.042528455,0,0.009303679,1,12
Exaggerated 1,L->R,0.043719916,0,0.008897585,1,13
Exaggerated 1,R->L,0.041353807,0,0.007953207,1,13
Exaggerated 1,L->R,0.040539257,0,0.008818715,1,14
Exaggerated 1,R->L,0.040402096,0,0.008654918,1,14
Exaggerated 1,L->R,0.038591899,0,0.00775047,1,15
Exaggerated 1,R->L,0.037763247,0,0.008183313,1,15
Exaggerated 1,L->R,0.0363438,0,0.008016777,1,16
Exaggerated 1,R->L,0.037351001,0,0.007194841,1,16
Exaggerated 1,L->R,0.03603398,0,0.007304784,1,17
Exaggerated 1,R->L,0.036766391,0,0.00733954,1,17
Exaggerated 1,L->R,0.037150273,0,0.006891504,1,18
Exaggerated 1,R->L,0.032423766,0,0.008153732,1,18
Exaggerated 1,L->R,0.032181678,0,0.008227756,1,19
Exaggerated 1,R->L,0.032061928,0,0.007444861,1,19
Exaggerated 1,L->R,0.027656023,0,0.008016283,1,20
Exaggerated 1,R->L,0.028230904,0,0.007523449,1,20
Exaggerated 2,L->R,0.011847897,0.008289432,0.001424261,0,1
Exaggerated 2,R->L,0.004904391,0.001538692,0.001152727,0.05,1
Exaggerated 2,L->R,0.025871281,0.012235256,0.002504965,0,2
Exaggerated 2,R->L,0.014903568,0.002561428,0.003301623,0.17,2
Exaggerated 2,L->R,0.034121862,0.008123672,0.004716956,0.01,3
Exaggerated 2,R->L,0.02721645,0.003330456,0.004650697,0.12,3
Exaggerated 2,L->R,0.036917124,0,0.006949761,0.14,4
Exaggerated 2,R->L,0.03451366,0.001095217,0.005288485,0.12,4
Exaggerated 2,L->R,0.045263217,0,0.007619339,0.12,5
Exaggerated 2,R->L,0.037369606,0,0.007441643,0.45,5
Exaggerated 2,L->R,0.044455647,0,0.008167238,0.47,6
Exaggerated 2,R->L,0.038497391,0,0.008035992,0.83,6
Exaggerated 2,L->R,0.042979689,0,0.007731516,0.84,7
Exaggerated 2,R->L,0.040435134,0,0.009765286,0.94,7
Exaggerated 2,L->R,0.042362806,0,0.01013077,0.97,8
Exaggerated 2,R->L,0.041986414,0,0.011168093,1,8
Exaggerated 2,L->R,0.042312437,0,0.009589533,1,9
Exaggerated 2,R->L,0.041890306,0,0.011582527,1,9
Exaggerated 2,L->R,0.046575197,0,0.010078171,0.99,10
Exaggerated 2,R->L,0.043049174,0,0.011435733,1,10
Exaggerated 2,L->R,0.046829831,0,0.009150274,1,11
Exaggerated 2,R->L,0.044073271,0,0.01029026,1,11
Exaggerated 2,L->R,0.048611088,0,0.009296153,1,12
Exaggerated 2,R->L,0.04444106,0,0.01205177,1,12
Exaggerated 2,L->R,0.047402072,0,0.008922281,1,13
Exaggerated 2,R->L,0.044493468,0,0.010130209,1,13
Exaggerated 2,L->R,0.04732398,0,0.008622309,1,14
Exaggerated 2,R->L,0.043574206,0,0.009599982,1,14
Exaggerated 2,L->R,0.043868685,0,0.008111974,1,15
Exaggerated 2,R->L,0.044204626,0,0.008016282,1,15
Exaggerated 2,L->R,0.04420489,0,0.007997194,1,16
Exaggerated 2,R->L,0.045120454,0,0.009619806,1,16
Exaggerated 2,L->R,0.043893287,0,0.007765685,1,17
Exaggerated 2,R->L,0.045746955,0,0.009236605,1,17
Exaggerated 2,L->R,0.044209445,0,0.008010932,1,18
Exaggerated 2,R->L,0.04281724,0,0.008309054,1,18
Exaggerated 2,L->R,0.043634658,0,0.008391458,1,19
Exaggerated 2,R->L,0.040950331,0,0.007958575,1,19
Exaggerated 2,L->R,0.044734615,0,0.008084402,1,20
Exaggerated 2,R->L,0.040175407,0,0.009380652,1,20
Exaggerated 3,L->R,0.009861648,0.006499996,0.001455762,0,1
Exaggerated 3,R->L,0.008493728,0.005533511,0.001158297,0,1
Exaggerated 3,L->R,0.030497254,0.014476628,0.002942429,0,2
Exaggerated 3,R->L,0.016308101,0.005214736,0.002758507,0.04,2
Exaggerated 3,L->R,0.039880192,0.008688742,0.003868173,0,3
Exaggerated 3,R->L,0.019322482,0.000431445,0.004505096,0.39,3
Exaggerated 3,L->R,0.050301656,0.002235726,0.005716306,0,4
Exaggerated 3,R->L,0.024700115,0,0.006200489,0.65,4
Exaggerated 3,L->R,0.053598289,0,0.007067093,0,5
Exaggerated 3,R->L,0.028295892,0,0.00768564,0.93,5
Exaggerated 3,L->R,0.053691328,0,0.008207348,0.06,6
Exaggerated 3,R->L,0.031148426,0,0.009168013,0.96,6
Exaggerated 3,L->R,0.050582811,0,0.008908629,0.44,7
Exaggerated 3,R->L,0.0357932,0,0.009977495,0.97,7
Exaggerated 3,L->R,0.046505367,0,0.010307759,0.83,8
Exaggerated 3,R->L,0.037992675,0,0.010577453,0.98,8
Exaggerated 3,L->R,0.046997197,0,0.009960662,0.93,9
Exaggerated 3,R->L,0.039854711,0,0.010157838,1,9
Exaggerated 3,L->R,0.049695657,0,0.009768657,0.97,10
Exaggerated 3,R->L,0.043493746,0,0.012233912,1,10
Exaggerated 3,L->R,0.052311271,0,0.0089743,0.98,11
Exaggerated 3,R->L,0.045536035,0,0.010314708,1,11
Exaggerated 3,L->R,0.052005202,0,0.009136494,1,12
Exaggerated 3,R->L,0.047004522,0,0.009022425,1,12
Exaggerated 3,L->R,0.04969164,0,0.009272135,1,13
Exaggerated 3,R->L,0.048811467,0,0.010787901,1,13
Exaggerated 3,L->R,0.051577818,0,0.008014023,1,14
Exaggerated 3,R->L,0.049071441,0,0.009366182,1,14
Exaggerated 3,L->R,0.048969932,0,0.008307836,1,15
Exaggerated 3,R->L,0.050445102,0,0.009012905,1,15
Exaggerated 3,L->R,0.048680996,0,0.007804744,1,16
Exaggerated 3,R->L,0.048800402,0,0.009062475,1,16
Exaggerated 3,L->R,0.049100784,0,0.008171228,1,17
Exaggerated 3,R->L,0.050806826,0,0.008697392,1,17
Exaggerated 3,L->R,0.050112587,0,0.009363586,1,18
Exaggerated 3,R->L,0.049893919,0,0.007867693,1,18
Exaggerated 3,L->R,0.048263508,0,0.00864863,1,19
Exaggerated 3,R->L,0.047945221,0,0.007499749,1,19
Exaggerated 3,L->R,0.043689879,0,0.007592149,1,20
Exaggerated 3,R->L,0.048463804,0,0.008358561,1,20
Still 1,L->R,0.002164483,0,0.001404018,0.67,1
Still 1,R->L,0.011200717,0.008375172,0.001245479,0,1
Still 1,L->R,0.019332304,0.005067237,0.002456976,0,2
Still 1,R->L,0.01946377,0.008313701,0.002323204,0,2
Still 1,L->R,0.035187816,0.005089063,0.003927052,0,3
