i,direction,te,ete,se,p,history length
Normal 3,L->R,0.036417703,0,0.010350891,0.89,8
Normal 3,R->L,0.028429909,0,0.008562078,1,8
Normal 3,L->R,0.038759288,0,0.009685068,0.98,9
Normal 3,R->L,0.026484795,0,0.009781901,1,9
Normal 3,L->R,0.035611928,0,0.0108896,1,10
Normal 3,R->L,0.025919148,0,0.01060316,1,10
Normal 3,L->R,0.035246637,0,0.009925864,1,11
Normal 3,R->L,0.025904029,0,0.009652237,1,11
Normal 3,L->R,0.036456018,0,0.009231757,1,12
Normal 3,R->L,0.026394374,0,0.009027628,1,12
Normal 3,L->R,0.029244774,0,0.010172257,1,13
Normal 3,R->L,0.024731643,0,0.008489043,1,13
Normal 3,L->R,0.027779385,0,0.009540018,1,14
Normal 3,R->L,0.02398855,0,0.00898167,1,14
Normal 3,L->R,0.027414919,0,0.00803014,1,15
Normal 3,R->L,0.022071144,0,0.009550347,1,15
Normal 3,L->R,0.021597863,0,0.008517949,1,16
Normal 3,R->L,0.020262,0,0.008013152,1,16
Normal 3,L->R,0.019860205,0,0.009886075,1,17
Normal 3,R->L,0.019100429,0,0.007774392,1,17
Normal 3,L->R,0.019422038,0,0.007973256,1,18
Normal 3,R->L,0.016995025,0,0.008178528,1,18
Normal 3,L->R,0.020715327,0,0.008268264,1,19
Normal 3,R->L,0.015941873,0,0.006611551,1,19
Normal 3,L->R,0.019562666,0,0.008478948,1,20
Normal 3,R->L,0.015478653,0,0.007486312,1,20
Exaggerated 1,L->R,0.005711649,0.002920753,0.001118245,0.01,1
Exaggerated 1,R->L,0.002798627,0,0.000913135,0.23,1
Exaggerated 1,L->R,0.012315189,0.002678155,0.002304053,0.02,2
Exaggerated 1,R->L,0.011533054,0.001924067,0.002120291,0.01,2
Exaggerated 1,L->R,0.011565418,0,0.003146476,0.36,3
Exaggerated 1,R->L,0.012517746,0,0.003185059,0.3,3
Exaggerated 1,L->R,0.015922535,0,0.004824448,0.47,4
Exaggerated 1,R->L,0.014850011,0,0.004179135,0.48,4
Exaggerated 1,L->R,0.017368722,0,0.006240837,0.77,5
Exaggerated 1,R->L,0.015595854,0,0.00529944,0.85,5
Exaggerated 1,L->R,0.018900236,0,0.006474261,0.88,6
Exaggerated 1,R->L,0.015676578,0,0.005947638,0.98,6
Exaggerated 1,L->R,0.019756425,0,0.007431303,0.96,7
Exaggerated 1,R->L,0.015763157,0,0.006305198,1,7
Exaggerated 1,L->R,0.018483118,0,0.007734465,1,8
Exaggerated 1,R->L,0.016732353,0,0.007549658,1,8
Exaggerated 1,L->R,0.018663209,0,0.007681472,1,9
Exaggerated 1,R->L,0.015490008,0,0.007517615,1,9
Exaggerated 1,L->R,0.019694702,0,0.007418175,1,10
Exaggerated 1,R->L,0.014693279,0,0.007747005,1,10
Exaggerated 1,L->R,0.019276559,0,0.007197155,1,11
Exaggerated 1,R->L,0.014700291,0,0.008179079,1,11
Exaggerated 1,L->R,0.020907968,0,0.007998686,1,12
Exaggerated 1,R->L,0.015295117,0,0.009084198,1,12
Exaggerated 1,L->R,0.020029602,0,0.007951605,1,13
Exaggerated 1,R->L,0.015291236,0,0.009439308,1,13
Exaggerated 1,L->R,0.021045291,0,0.00695906,1,14
Exaggerated 1,R->L,0.015155488,0,0.008807362,1,14
Exaggerated 1,L->R,0.020734881,0,0.007251031,1,15
Exaggerated 1,R->L,0.013746848,0,0.008766473,1,15
Exaggerated 1,L->R,0.020772889,0,0.007288488,1,16
Exaggerated 1,R->L,0.013448544,0,0.008045049,1,16
Exaggerated 1,L->R,0.020506017,0,0.006541761,1,17
Exaggerated 1,R->L,0.012090934,0,0.007335676,1,17
Exaggerated 1,L->R,0.021695806,0,0.006596472,1,18
Exaggerated 1,R->L,0.011450076,0,0.007070262,1,18
Exaggerated 1,L->R,0.022286324,0,0.006274159,1,19
Exaggerated 1,R->L,0.011052564,0,0.00774795,1,19
Exaggerated 1,L->R,0.017452851,0,0.005589733,1,20
Exaggerated 1,R->L,0.011090656,0,0.007627519,1,20
Exaggerated 2,L->R,0.008381095,0.004987775,0.001468675,0,1
Exaggerated 2,R->L,0.003220529,0.000452737,0.001175537,0.19,1
Exaggerated 2,L->R,0.01059016,0.000820243,0.002632925,0.15,2
Exaggerated 2,R->L,0.006561229,0,0.002624469,0.41,2
Exaggerated 2,L->R,0.00633757,0,0.00327796,0.91,3
Exaggerated 2,R->L,0.010291779,0,0.003274101,0.38,3
Exaggerated 2,L->R,0.009800185,0,0.004854741,0.88,4
Exaggerated 2,R->L,0.008934437,0,0.004317985,0.91,4
Exaggerated 2,L->R,0.010799805,0,0.00558348,0.95,5
Exaggerated 2,R->L,0.009659603,0,0.0061363,0.98,5
Exaggerated 2,L->R,0.011285257,0,0.006944979,1,6
Exaggerated 2,R->L,0.011975367,0,0.006815949,0.98,6
Exaggerated 2,L->R,0.011509042,0,0.008382917,1,7
Exaggerated 2,R->L,0.01330927,0,0.007457728,1,7
Exaggerated 2,L->R,0.012398224,0,0.007715795,1,8
Exaggerated 2,R->L,0.013532101,0,0.008355161,1,8
