i,direction,te,ete,se,p,history length
Normal 3,L->R,0.026889454,0,0.009229604,0.95,8
Normal 3,R->L,0.02110385,0,0.008500008,0.99,8
Normal 3,L->R,0.029380568,0,0.009549088,0.99,9
Normal 3,R->L,0.022543668,0,0.009635087,1,9
Normal 3,L->R,0.02851952,0,0.008053073,1,10
Normal 3,R->L,0.025022981,0,0.009152937,1,10
Normal 3,L->R,0.029917286,0,0.009264962,1,11
Normal 3,R->L,0.024476401,0,0.009100305,1,11
Normal 3,L->R,0.033790745,0,0.009470102,1,12
Normal 3,R->L,0.027184019,0,0.010232589,1,12
Normal 3,L->R,0.034666697,0,0.008543872,1,13
Normal 3,R->L,0.027245925,0,0.008134229,1,13
Normal 3,L->R,0.036133206,0,0.008550414,1,14
Normal 3,R->L,0.026669648,0,0.009721029,1,14
Normal 3,L->R,0.03646461,0,0.008093676,1,15
Normal 3,R->L,0.028280171,0,0.008582152,1,15
Normal 3,L->R,0.035078032,0,0.008913769,1,16
Normal 3,R->L,0.028868052,0,0.007684623,1,16
Normal 3,L->R,0.036433152,0,0.008795409,1,17
Normal 3,R->L,0.028787924,0,0.007745694,1,17
Normal 3,L->R,0.037744615,0,0.007690846,1,18
Normal 3,R->L,0.028148499,0,0.009215149,1,18
Normal 3,L->R,0.037914237,0,0.007264861,1,19
Normal 3,R->L,0.027106671,0,0.00863057,1,19
Normal 3,L->R,0.036928791,0,0.008133496,1,20
Normal 3,R->L,0.027197046,0,0.008369309,1,20
Exaggerated 1,L->R,0.01115104,0.006949399,0.001583269,0,1
Exaggerated 1,R->L,0.025138631,0.021237425,0.001378564,0,1
Exaggerated 1,L->R,0.038417935,0.020690379,0.004058665,0,2
Exaggerated 1,R->L,0.047850811,0.029324221,0.004366647,0,2
Exaggerated 1,L->R,0.059115782,0.023306808,0.006381569,0,3
Exaggerated 1,R->L,0.06970821,0.034083112,0.005834762,0,3
Exaggerated 1,L->R,0.053238563,0.00439555,0.008489386,0.05,4
Exaggerated 1,R->L,0.061473506,0.012258573,0.007794653,0,4
Exaggerated 1,L->R,0.046238376,0,0.008943783,0.61,5
Exaggerated 1,R->L,0.056407739,0,0.009635304,0.19,5
Exaggerated 1,L->R,0.047237999,0,0.008898659,0.92,6
Exaggerated 1,R->L,0.05652801,0,0.009138861,0.47,6
Exaggerated 1,L->R,0.045718216,0,0.010590232,0.99,7
Exaggerated 1,R->L,0.056012631,0,0.011119536,0.83,7
